line_no	score	english	arabic
10895	10	I would not want anyone to leave the room thinking that we do not need capable, competent militaries who can create real military effect.	لا أريد لأي شخص أن يغادر الغرفة معتقداً بأننا لا نحتاج قوات مسلحة قادرة و مؤهلة تستطيع أن تخلق تأثير عسكري.
20575	10	What I think this really represents is lack of an A to Z rule set for the world as a whole for processing politically bankrupt states.	في اعتقادي ان هذا مؤشر لفقدان مجموعة من القواعد من الالف إلى الياء موضوعة للعالم ككل للتعامل مع الدول المفلسة سياسيا.
30258	10	In each Lesson, Brad and Tim certainly showed us how the walking dead can help us understand neuroscience, but how can the walking dead help us understand animation?	و في كل درس أظهر لنا براد و تيم فعلا كيف يمكن أن يساعدنا الميت المتحرك في فهم علم الأعصاب،.
38439	10	It was wonderful to be part of something like that, to see musicians from all over the world come together and work together.	لقد كان من الرائع أن تكون جزءًا من ذلك، أن ترى موسيقيين من جميع أنحاء العالم يجتمعوا ويعملوا سويًة.
48297	10	As a result, this production, which had already sold out, every single person in that 800-seat audience, except for 10 people, made a decision to keep the money.	ونتيجة لذلك، هذا العرض الذي تم بيع تذاكره بالفعل، أي شخص في الحضور البالغ عددهم 800، بإستثناء عشرة أشخاص، أخذ قرار بعد إسترداد المال.
57435	10	Twitter, another example of market insight. Masses of people are more likely to write a 140 characters than a 1000 words.	تويتر مثال آخر على المعرفة السوقية، يفضل عدد كبير من الأشخاص التدوين المصغر على كتابة آلاف الكلمات.
67938	10	Founders sometimes naively believe that they can protect their technology from investors or potential investors by making investors sign a non-disclosure agreement.	يعتقد المؤسسون أحيانًا بسذاجة أنهم يستطيعون حماية أفكارهم من المستثمرين أو المستثمرين المحتملين من خلال إبرام اتفاقيات عدم إفصاح معهم.
77552	10	Now over and over again, people have said, "Let's build bridges," and frankly, I want to do more than that.	الآن مرارا وتكرارا، يقول الناس "دعونا نبني الجسور"، وبصراحة، أريد أن أفعل أكثر من ذلك.
86639	10	I would like to share with you some technology that I brought all the way from the thriving metropolis of Brisbane.	أود أن أطلعكم على بعض التكنولوجيا التي أحضرتها من عاصمة بريزبان المزدهرة.
97053	10	Why do people spend an average of 15 to 30 percent more when they use an ATM card or a credit card as opposed to cash?	لماذا يقضي الناس متوسط 15 ال 30 في المائة اكثر عندما يستخدمون بطاقة الصراف الالي وبطاقتهم الائتمانية على العكس من النقد؟
105697	10	He was, I take it, the most perfect reasoning and observing machine that the world has seen, but as a lover he would have placed himself in a false position.	كان ، وأنا أعتبر أن المنطق الأكثر مثالية وأشار إلى أن الجهاز وقد شهد العالم ، ولكن كعاشق لكان قد وضع نفسه في موقف زائف.
114992	10	The idea of people-work is what we work with here, and I have to make a bond with my designers when we're creating BMWs.	فكرة الناس-العمل هي التي نتعامل معها هنا, و يجب علي أن أصنع حلقة وصل بين المصممين عندما نصنع سيارات بي أم دبليو.
124917	10	The New Tab page will now display thumbnails of your most recently and frequently visited websites from your Awesome Bar history.	ستعرض الصفحة الجديدة مصغرات للمواقع الأكثر زيارة من تأريخ تصفحك.
134584	10	Basically, we developed numerous mobile apps, every one of them explaining a particular concept in math.	العديد من تطبيقات الجوال، كل واحد منها يشرح مفهوم معين في الرياضيات.
146150	10	The nazi occupation and brutal dictatorships of the 20th century have not been erased from peoples memories.	الإحتلال النازي و الديكتاتوريات الوحشية من القرن العشرين لم تمحى من ذاكرة الناس.
155658	10	One of the best ways of killing mosquitos is not to wait until they fly around like adults and bite people and transmit disease.	واحدة من أفضل الطرق لقتل البعوض هي أن لا ننتظر حتى يطيرو حولنا كبالغين و يلدغو الناس و ينقلو المرض.
164480	10	Hunter-gatherer peoples explicitly go through this train of thought, and will often raid their neighbors out of fear of being raided first.	هذا القطار من الأفكار يحمل في طياته إصطياد واضح للناس وغالبا ما يدفع الناس لأن يغيروا على الجيران خوفاً من التعرض للهجوم أولاً .
175521	10	To test whether or not a sample of microbes can break down cellulose effectively, researchers first grow the microbe in a test tube.	و لاختبار ما إذا كانت عينة الميكروبات تكسر السليلوز بفاعلية، قام الباحثون بتنمية البكتيريا في أنابيب اختبار.
184872	10	Now I had people in Washington last week told me, he said, "The Saudis can produce the oil for five dollars a barrel.	الآن أخبرني أحدهم في واشنطن الأسبوع الماضي، قال، "يستطيع السعوديون إنتاج النفط ب5 دولارات للبرميل.
194385	10	Why do the people of the world live in freedom while the children of Palestine do not know the meaning of freedom or sleep peacefully at night?	لماذا يعيش شعوب العالم أحرارًا بينما لا يعرف أطفال فلسطين معنى الحرية أو ينامون نومًا هنيئًا ليلًا؟
204472	10	In another moment down went Alice after it, never once considering how in the world she was to get out again.	في آخر لحظة تراجعت أليس بعد ذلك ، مرة واحدة كيف تفكر أبدا في العالم انها وكان للخروج مرة أخرى.
214688	10	For example, we are, in Britain, we're trying to do a digital switchover of the whole population into digital technology [for television].	على سبيل المثال ، نحن -- في بريطانيا ، نحاول القيام بتحول رقمي من مجموع السكان في التكنولوجيا الرقمية على شاشة التلفزيون.
224888	10	This guy once said the significant problems we face today can't be solved at the same level of thinking that we were at when we created them.	قال هذا الشخص مرة أننا لا يمكن أن نحل المشاكل الخطيرة التي نواجهها اليوم بنفس مستوى التفكير الذي كان لدينا عندما سببناها.
236344	10	So, let me ask you something. Are we better off because President Obama fought for health care reform?	لذلك،دعوني اسألكم مره أ خرى هل حالنا أفضل اليوم لأن الرئيس أوباما قاتل من أجل إصلاح نظام الرعاية الصحية؟
245804	10	To figure out the elegant recipes that would take the small subset of the periodic table, and create miracle materials like that cell, is the task of green chemistry.	اكتشاف الوصفات الراقية التي تستخدم الجزء الصغير من الجدول الدوري، وإنشاء مواد معجزة كتلك الخلية، هي وظيفة الكيمياء الصديقة للبيئة.
