id	domain_hint	english	arabic
qed_001	Military/Policy	I would not want anyone to leave the room thinking that we do not need capable, competent militaries who can create real military effect.	لا أريد لأي شخص أن يغادر الغرفة معتقداً بأننا لا نحتاج قوات مسلحة قادرة و مؤهلة تستطيع أن تخلق تأثير عسكري.
qed_002	Politics/Diplomacy	What I think this really represents is lack of an A to Z rule set for the world as a whole for processing politically bankrupt states.	في اعتقادي ان هذا مؤشر لفقدان مجموعة من القواعد من الالف إلى الياء موضوعة للعالم ككل للتعامل مع الدول المفلسة سياسيا.
qed_003	Music/Culture	It was wonderful to be part of something like that, to see musicians from all over the world come together and work together.	لقد كان من الرائع أن تكون جزءًا من ذلك، أن ترى موسيقيين من جميع أنحاء العالم يجتمعوا ويعملوا سويًة.
qed_004	Theater/Arts	As a result, this production, which had already sold out, every single person in that 800-seat audience, except for 10 people, made a decision to keep the money.	ونتيجة لذلك، هذا العرض الذي تم بيع تذاكره بالفعل، أي شخص في الحضور البالغ عددهم 800، بإستثناء عشرة أشخاص، أخذ قرار بعد إسترداد المال.
qed_005	Technology/Market	Twitter, another example of market insight. Masses of people are more likely to write a 140 characters than a 1000 words.	تويتر مثال آخر على المعرفة السوقية، يفضل عدد كبير من الأشخاص التدوين المصغر على كتابة آلاف الكلمات.
qed_006	Business/Startups	Founders sometimes naively believe that they can protect their technology from investors or potential investors by making investors sign a non-disclosure agreement.	يعتقد المؤسسون أحيانًا بسذاجة أنهم يستطيعون حماية أفكارهم من المستثمرين أو المستثمرين المحتملين من خلال إبرام اتفاقيات عدم إفصاح معهم.
qed_007	Social/Bridges	Now over and over again, people have said, "Let's build bridges," and frankly, I want to do more than that.	الآن مرارا وتكرارا، يقول الناس "دعونا نبني الجسور"، وبصراحة، أريد أن أفعل أكثر من ذلك.
qed_008	Technology/Innovation	I would like to share with you some technology that I brought all the way from the thriving metropolis of Brisbane.	أود أن أطلعكم على بعض التكنولوجيا التي أحضرتها من عاصمة بريزبان المزدهرة.
qed_009	Economics/Consumer	Why do people spend an average of 15 to 30 percent more when they use an ATM card or a credit card as opposed to cash?	لماذا يقضي الناس متوسط 15 ال 30 في المائة اكثر عندما يستخدمون بطاقة الصراف الالي وبطاقتهم الائتمانية على العكس من النقد؟
qed_010	Design/Automotive	The idea of people-work is what we work with here, and I have to make a bond with my designers when we're creating BMWs.	فكرة الناس-العمل هي التي نتعامل معها هنا, و يجب علي أن أصنع حلقة وصل بين المصممين عندما نصنع سيارات بي أم دبليو.
